Type,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
SCIENCE,Conservation scientists and foresters,23,Na,16,0,7,0
SCIENCE,Medical scientists,151,1250,68,1362,84,1082
SCIENCE,"Life scientists, all other",1,Na,1,0,0,0
SCIENCE,Astronomers and physicists,14,Na,11,0,3,0
SCIENCE,Atmospheric and space scientists,8,Na,8,0,1,0
SCIENCE,Chemists and materials scientists,93,1432,61,1496,33,0
SCIENCE,Environmental scientists and geoscientists,90,1423,65,1740,25,0
SCIENCE,"Physical scientists, all other",189,1553,121,1770,68,1170
SCIENCE,Economists,29,Na,17,0,12,Na
SCIENCE,Survey researchers,0,Na,0,0,0,Na
SCIENCE,Psychologists,114,1367,31,0,83,1189
SCIENCE,Sociologists,0,Na,0,0,0,0
SCIENCE,Urban and regional planners,22,Na,13,0,9,0
SCIENCE,Miscellaneous social scientists and related workers,37,Na,19,0,19,0
SCIENCE,Agricultural and food science technicians,28,Na,21,0,7,0
SCIENCE,Biological technicians,20,Na,10,0,10,0
SCIENCE,Chemical technicians,75,944,43,0,32,0
SCIENCE,Geological and petroleum technicians,22,Na,18,0,4,0
SCIENCE,Nuclear technicians,2,Na,2,0,0,0
SCIENCE,Social science research assistants,3,Na,0,0,3,0
SCIENCE,"Miscellaneous life, physical, and social science technicians",157,846,79,1001,78,780
SOCIAL SERVICE,Counselors,635,904,184,908,451,902
SOCIAL SERVICE,Social workers,677,877,127,943,549,862
SOCIAL SERVICE,Probation officers and correctional treatment specialists,85,967,42,Na,43,0
SOCIAL SERVICE,Social and human service assistants,173,676,23,Na,149,673
SOCIAL SERVICE,Clergy,376,1002,316,1021,60,924
SOCIAL SERVICE,"Directors, religious activities and education",62,929,31,Na,31,0
SOCIAL SERVICE,"Religious workers, all other",44,Na,23,Na,21,0
LEGAL,Lawyers,803,1886,503,1914,300,1717
LEGAL,Judicial law clerks,11,Na,1,Na,10,0
LEGAL,"Judges, magistrates, and other judicial workers",54,1952,33,Na,20,0
LEGAL,Paralegals and legal assistants,341,927,47,Na,294,910
LEGAL,Miscellaneous legal support workers,136,770,40,Na,97,746
EDUCATION,Postsecondary teachers,917,1258,516,1405,401,1144
EDUCATION,Preschool and kindergarten teachers,517,616,11,Na,506,618
EDUCATION,Elementary and middle school teachers,2806,974,543,1077,2262,957
EDUCATION,Secondary school teachers,1048,1066,438,1149,610,1006
EDUCATION,Special education teachers,297,987,38,Na,258,990
EDUCATION,Other teachers and instructors,378,896,179,1024,199,817
EDUCATION,"Archivists, curators, and museum technicians",38,Na,18,Na,20,0
EDUCATION,Librarians,130,991,27,Na,102,966
EDUCATION,Library technicians,18,Na,4,Na,15,0
EDUCATION,Teacher assistants,614,541,48,Na,565,530
EDUCATION,"Other education, training, and library workers",123,1001,28,Na,95,1031
ARTS,Artists and related workers,58,1166,39,Na,20,0
ARTS,Designers,593,993,301,1099,291,918
ARTS,Actors,12,Na,8,Na,4,0
ARTS,Producers and directors,120,1270,67,1340,53,1234
ARTS,"Athletes, coaches, umpires, and related workers",147,780,108,818,39,0
ARTS,Dancers and choreographers,11,Na,2,Na,9,0
ARTS,"Musicians, singers, and related workers",42,Na,33,Na,9,0
ARTS,"Entertainers and performers, sports and related workers, all other",14,Na,11,Na,3,0
ARTS,Announcers,25,Na,21,Na,5,0
ARTS,"News analysts, reporters and correspondents",56,1218,29,Na,27,0
ARTS,Public relations specialists,120,1211,49,Na,71,971
ARTS,Editors,108,1148,58,1205,50,1125
ARTS,Technical writers,52,1158,22,Na,30,0
ARTS,Writers and authors,79,1232,36,Na,42,0
ARTS,Miscellaneous media and communication workers,46,Na,16,Na,30,0
ARTS,Broadcast and sound engineering technicians and radio operators,83,954,77,937,7,0
ARTS,Photographers,45,Na,24,Na,21,0
ARTS,"Television, video, and motion picture camera operators and editors",30,Na,28,Na,1,0
ARTS,"Media and communication equipment workers, all other",2,Na,2,Na,0,0
HEALTHCARE PROFESSIONAL,Chiropractors,22,Na,15,Na,7,0
HEALTHCARE PROFESSIONAL,Dentists,59,1656,39,Na,20,0
HEALTHCARE PROFESSIONAL,Dietitians and nutritionists,79,886,9,Na,69,879
HEALTHCARE PROFESSIONAL,Optometrists,19,Na,6,Na,13,0
HEALTHCARE PROFESSIONAL,Pharmacists,206,1920,98,2117,108,1811
HEALTHCARE PROFESSIONAL,Physicians and surgeons,740,1824,457,1915,283,1533
HEALTHCARE PROFESSIONAL,Physician assistants,57,1368,17,Na,40,0
HEALTHCARE PROFESSIONAL,Podiatrists,9,Na,5,Na,4,0
HEALTHCARE PROFESSIONAL,Audiologists,8,Na,1,Na,6,0
HEALTHCARE PROFESSIONAL,Occupational therapists,74,1210,10,Na,64,1199
HEALTHCARE PROFESSIONAL,Physical therapists,178,1265,56,1347,123,1215
HEALTHCARE PROFESSIONAL,Radiation therapists,12,Na,5,Na,7,0
HEALTHCARE PROFESSIONAL,Recreational therapists,6,Na,2,Na,4,0
HEALTHCARE PROFESSIONAL,Respiratory therapists,99,1000,32,Na,67,937
HEALTHCARE PROFESSIONAL,Speech-language pathologists,108,1147,1,Na,106,1148
HEALTHCARE PROFESSIONAL,Exercise physiologists,3,Na,3,Na,0,0
HEALTHCARE PROFESSIONAL,"Therapists, all other",132,944,31,Na,101,951
HEALTHCARE PROFESSIONAL,Veterinarians,55,1455,16,Na,39,0
HEALTHCARE PROFESSIONAL,Registered nurses,2382,1116,278,1222,2104,1098
HEALTHCARE PROFESSIONAL,Nurse anesthetists,23,Na,11,Na,12,0
HEALTHCARE PROFESSIONAL,Nurse midwives,6,Na,0,Na,6,0
HEALTHCARE PROFESSIONAL,Nurse practitioners,115,1532,11,Na,103,1522
HEALTHCARE PROFESSIONAL,"Health diagnosing and treating practitioners, all other",2,Na,0,Na,2,0
HEALTHCARE PROFESSIONAL,Clinical laboratory technologists and technicians,270,901,69,1089,201,796
HEALTHCARE PROFESSIONAL,Dental hygienists,86,914,6,Na,80,953
HEALTHCARE PROFESSIONAL,Diagnostic related technologists and technicians,253,964,76,1106,177,908
HEALTHCARE PROFESSIONAL,Emergency medical technicians and paramedics,175,811,126,899,49,0
HEALTHCARE PROFESSIONAL,Health practitioner support technologists and technicians,487,636,99,652,389,633
HEALTHCARE PROFESSIONAL,Licensed practical and licensed vocational nurses,508,743,48,Na,459,737
HEALTHCARE PROFESSIONAL,Medical records and health information technicians,174,740,17,Na,157,723
HEALTHCARE PROFESSIONAL,"Opticians, dispensing",44,Na,21,Na,23,0
HEALTHCARE PROFESSIONAL,Miscellaneous health technologists and technicians,99,671,32,Na,66,642
HEALTHCARE PROFESSIONAL,Other healthcare practitioners and technical occupations,78,1128,40,Na,38,0
HEALTHCARE PROFESSIONAL,HEALTHCARE SUPPORT,2395,498,320,577,2074,490
HEALTHCARE PROFESSIONAL,"Nursing, psychiatric, and home health aides",1400,467,163,526,1237,457
HEALTHCARE PROFESSIONAL,Occupational therapy assistants and aides,17,Na,4,Na,12,0
HEALTHCARE PROFESSIONAL,Physical therapist assistants and aides,53,742,18,Na,35,0
HEALTHCARE PROFESSIONAL,Massage therapists,37,Na,16,Na,22,0
HEALTHCARE PROFESSIONAL,Dental assistants,188,531,14,Na,175,522
HEALTHCARE PROFESSIONAL,Medical assistants,422,539,35,Na,387,530
HEALTHCARE PROFESSIONAL,Medical transcriptionists,28,Na,3,Na,26,0
HEALTHCARE PROFESSIONAL,Pharmacy aides,22,Na,4,Na,18,0
HEALTHCARE PROFESSIONAL,Veterinary assistants and laboratory animal caretakers,21,Na,4,Na,17,0
HEALTHCARE PROFESSIONAL,Phlebotomists,91,551,15,Na,76,534
PROTECTIVE SERVICE,First-line supervisors of correctional officers,57,856,41,Na,16,0
PROTECTIVE SERVICE,First-line supervisors of police and detectives,114,1427,97,1425,17,0
PROTECTIVE SERVICE,First-line supervisors of fire fighting and prevention workers,42,Na,39,Na,3,0
PROTECTIVE SERVICE,"First-line supervisors of protective service workers, all other",72,808,56,825,16,0
PROTECTIVE SERVICE,Firefighters,260,1033,245,1052,16,0
PROTECTIVE SERVICE,Fire inspectors,18,Na,15,Na,3,0
PROTECTIVE SERVICE,"Bailiffs, correctional officers, and jailers",453,754,341,779,112,686
PROTECTIVE SERVICE,Detectives and criminal investigators,141,1159,100,1265,41,0
PROTECTIVE SERVICE,Fish and game wardens,6,Na,5,Na,1,0
PROTECTIVE SERVICE,Parking enforcement workers,9,Na,6,Na,3,0
PROTECTIVE SERVICE,Police and sheriff's patrol officers,655,1002,569,1001,86,1009
PROTECTIVE SERVICE,Transit and railroad police,3,Na,3,Na,0,0
PROTECTIVE SERVICE,Animal control workers,4,Na,2,Na,2,0
PROTECTIVE SERVICE,Private detectives and investigators,85,843,49,Na,36,0
PROTECTIVE SERVICE,Security guards and gaming surveillance officers,708,567,555,592,153,515
PROTECTIVE SERVICE,Crossing guards,26,Na,13,Na,13,0
PROTECTIVE SERVICE,Transportation security screeners,33,Na,22,Na,11,0
PROTECTIVE SERVICE,"Lifeguards and other recreational, and all other protective service workers",42,Na,24,Na,18,0
CULINARY,Chefs and head cooks,340,619,285,656,55,492
CULINARY,First-line supervisors of food preparation and serving workers,378,498,156,621,222,458
CULINARY,Cooks,1302,416,808,427,494,400
CULINARY,Food preparation workers,366,402,174,414,192,388
CULINARY,Bartenders,252,521,110,569,142,493
CULINARY,"Combined food preparation and serving workers, including fast food",173,391,67,401,107,380
CULINARY,"Counter attendants, cafeteria, food concession, and coffee shop",56,354,28,Na,28,0
CULINARY,Waiters and waitresses,868,451,305,501,563,411
CULINARY,"Food servers, nonrestaurant",93,509,31,Na,62,485
CULINARY,Dining room and cafeteria attendants and bartender helpers,107,403,59,389,48,0
CULINARY,Dishwashers,117,398,98,401,19,0
CULINARY,"Hosts and hostesses, restaurant, lounge, and coffee shop",66,400,8,Na,58,397
CULINARY,"Food preparation and serving related workers, all other",6,Na,4,Na,3,0
GROUNDSKEEPING,First-line supervisors of housekeeping and janitorial workers,172,620,108,700,64,571
GROUNDSKEEPING,Janitors and building cleaners,1536,507,1111,547,425,429
GROUNDSKEEPING,Maids and housekeeping cleaners,876,416,134,475,742,407
GROUNDSKEEPING,Pest control workers,77,585,74,591,3,0
GROUNDSKEEPING,Grounds maintenance workers,862,469,824,473,39,0
SERVICE,First-line supervisors of gaming workers,117,769,65,900,52,680
SERVICE,First-line supervisors of personal service workers,60,608,25,Na,35,0
SERVICE,Animal trainers,26,Na,19,Na,8,0
SERVICE,Nonfarm animal caretakers,100,505,32,Na,68,501
SERVICE,Gaming services workers,69,676,30,Na,39,0
SERVICE,Motion picture projectionists,3,Na,3,Na,0,0
SERVICE,"Ushers, lobby attendants, and ticket takers",9,Na,5,Na,4,0
SERVICE,Miscellaneous entertainment attendants and related workers,69,485,42,Na,28,0
SERVICE,Embalmers and funeral attendants,2,Na,2,Na,0,0
SERVICE,"Morticians, undertakers, and funeral directors",23,Na,17,Na,7,0
SERVICE,Barbers,46,Na,33,Na,12,0
SERVICE,"Hairdressers, hairstylists, and cosmetologists",253,461,23,Na,229,463
SERVICE,Miscellaneous personal appearance workers,191,501,32,Na,159,497
SERVICE,"Baggage porters, bellhops, and concierges",75,608,63,606,12,0
SERVICE,Tour and travel guides,21,Na,11,Na,9,0
SERVICE,Childcare workers,407,437,14,Na,393,430
SERVICE,Personal care aides,680,462,128,537,552,441
SERVICE,Recreation and fitness workers,185,555,78,684,107,526
SERVICE,Residential advisors,24,Na,8,Na,16,0
SERVICE,"Personal care and service workers, all other",67,499,35,Na,32,0
SALES,First-line supervisors of retail sales workers,2326,711,1296,825,1030,614
SALES,First-line supervisors of non-retail sales workers,835,1028,556,1140,280,896
SALES,Cashiers,1342,415,411,471,931,405
SALES,Counter and rental clerks,73,594,35,Na,37,0
SALES,Parts salespersons,92,601,82,600,11,0
SALES,Retail salespersons,1918,590,1159,694,759,494
SALES,Advertising sales agents,161,925,78,1155,83,729
SALES,Insurance sales agents,427,815,194,1028,232,717
SALES,"Securities, commodities, and financial services sales agents",211,1155,146,1461,65,767
SALES,Travel agents,62,711,9,Na,53,685
SALES,"Sales representatives, services, all other",406,966,268,1147,139,699
SALES,"Sales representatives, wholesale and manufacturing",1138,1020,843,1066,295,917
SALES,"Models, demonstrators, and product promoters",15,Na,4,Na,11,0
SALES,Real estate brokers and sales agents,463,837,197,1052,266,735
SALES,Sales engineers,33,Na,31,Na,2,0
SALES,Telemarketers,39,Na,17,Na,21,0
SALES,"Door-to-door sales workers, news and street vendors, and related workers",28,Na,9,Na,18,0
SALES,"Sales and related workers, all other",158,916,89,1088,70,727
OFFICE,First-line supervisors of office and administrative support workers,1297,812,434,878,863,781
OFFICE,"Switchboard operators, including answering service",17,Na,7,Na,10,0
OFFICE,Telephone operators,22,Na,4,Na,18,0
OFFICE,"Communications equipment operators, all other",5,Na,2,Na,3,0
OFFICE,Bill and account collectors,152,657,54,674,98,648
OFFICE,Billing and posting clerks,406,657,39,Na,366,664
OFFICE,"Bookkeeping, accounting, and auditing clerks",769,692,87,690,682,692
OFFICE,Gaming cage workers,11,Na,2,Na,10,0
OFFICE,Payroll and timekeeping clerks,128,757,17,Na,111,751
OFFICE,Procurement clerks,35,Na,15,Na,21,0
OFFICE,Tellers,264,514,33,Na,231,516
OFFICE,"Financial clerks, all other",61,767,30,Na,32,0
OFFICE,Brokerage clerks,3,Na,1,Na,1,0
OFFICE,Correspondence clerks,3,Na,1,Na,2,0
OFFICE,"Court, municipal, and license clerks",60,755,9,Na,51,743
OFFICE,"Credit authorizers, checkers, and clerks",42,Na,12,Na,29,0
OFFICE,Customer service representatives,1760,621,611,690,1149,604
OFFICE,"Eligibility interviewers, government programs",67,781,17,Na,50,805
OFFICE,File clerks,145,634,25,Na,120,627
OFFICE,"Hotel, motel, and resort desk clerks",127,481,58,486,69,467
OFFICE,"Interviewers, except eligibility and loan",105,615,16,Na,89,617
OFFICE,"Library assistants, clerical",35,Na,7,Na,28,0
OFFICE,Loan interviewers and clerks,134,710,25,Na,109,722
OFFICE,New accounts clerks,20,Na,3,Na,17,0
OFFICE,Order clerks,74,599,26,Na,48,0
OFFICE,"Human resources assistants, except payroll and timekeeping",50,737,11,Na,40,0
OFFICE,Receptionists and information clerks,852,575,72,619,781,569
OFFICE,Reservation and transportation ticket agents and travel clerks,95,713,34,Na,61,680
OFFICE,"Information and record clerks, all other",100,618,22,Na,78,616
OFFICE,Cargo and freight agents,20,Na,12,Na,9,0
OFFICE,Couriers and messengers,153,752,134,750,19,0
OFFICE,Dispatchers,250,698,109,759,141,655
OFFICE,"Meter readers, utilities",39,Na,34,Na,4,0
OFFICE,Postal service clerks,127,927,76,974,51,833
OFFICE,Postal service mail carriers,302,954,187,1021,115,854
OFFICE,"Postal service mail sorters, processors, and processing machine operators",53,828,27,Na,26,0
OFFICE,"Production, planning, and expediting clerks",256,838,116,978,141,732
OFFICE,"Shipping, receiving, and traffic clerks",502,591,354,604,148,566
OFFICE,Stock clerks and order fillers,1027,520,651,537,376,506
OFFICE,"Weighers, measurers, checkers, and samplers, recordkeeping",59,629,29,Na,31,0
OFFICE,Secretaries and administrative assistants,2223,687,124,786,2099,683
OFFICE,Computer operators,58,751,25,Na,33,0
OFFICE,Data entry keyers,223,619,55,589,169,638
OFFICE,Word processors and typists,68,650,6,Na,62,639
OFFICE,Desktop publishers,1,Na,1,Na,0,0
OFFICE,Insurance claims and policy processing clerks,259,689,56,762,203,675
OFFICE,"Mail clerks and mail machine operators, except postal service",63,563,24,Na,39,0
OFFICE,"Office clerks, general",929,620,156,609,773,622
OFFICE,"Office machine operators, except computer",31,Na,14,Na,16,0
OFFICE,Proofreaders and copy markers,2,Na,0,Na,2,0
OFFICE,Statistical assistants,15,Na,5,Na,10,0
OFFICE,"Office and administrative support workers, all other",391,745,93,852,298,718
AGRICULTURAL,"First-line supervisors of farming, fishing, and forestry workers",42,Na,32,Na,10,0
AGRICULTURAL,Agricultural inspectors,12,Na,7,Na,6,0
AGRICULTURAL,Animal breeders,2,Na,2,Na,0,0
AGRICULTURAL,"Graders and sorters, agricultural products",83,486,32,Na,51,468
AGRICULTURAL,Miscellaneous agricultural workers,613,445,511,460,102,398
AGRICULTURAL,Fishers and related fishing workers,11,Na,11,Na,0,0
AGRICULTURAL,Hunters and trappers,0,Na,0,Na,0,0
AGRICULTURAL,Forest and conservation workers,15,Na,10,Na,5,0
AGRICULTURAL,Logging workers,31,Na,31,Na,0,0
CONSTRUCTION,First-line supervisors of construction trades and extraction workers,560,1040,540,1047,20,0
CONSTRUCTION,Boilermakers,21,Na,21,Na,0,0
CONSTRUCTION,"Brickmasons, blockmasons, and stonemasons",122,652,122,652,0,0
CONSTRUCTION,Carpenters,802,687,792,687,10,0
CONSTRUCTION,"Carpet, floor, and tile installers and finishers",89,637,89,634,1,0
CONSTRUCTION,"Cement masons, concrete finishers, and terrazzo workers",44,Na,44,Na,0,0
CONSTRUCTION,Construction laborers,1181,639,1155,642,25,0
CONSTRUCTION,"Paving, surfacing, and tamping equipment operators",10,Na,10,Na,0,0
CONSTRUCTION,Pile-driver operators,2,Na,2,Na,0,0
CONSTRUCTION,Operating engineers and other construction equipment operators,324,856,318,859,6,0
CONSTRUCTION,"Drywall installers, ceiling tile installers, and tapers",121,596,119,595,2,0
CONSTRUCTION,Electricians,651,888,632,891,19,0
CONSTRUCTION,Glaziers,33,Na,32,Na,0,0
CONSTRUCTION,Insulation workers,43,Na,41,Na,3,0
CONSTRUCTION,"Painters, construction and maintenance",344,585,330,587,14,0
CONSTRUCTION,Paperhangers,0,Na,0,Na,0,0
CONSTRUCTION,"Pipelayers, plumbers, pipefitters, and steamfitters",456,863,455,862,2,0
CONSTRUCTION,Plasterers and stucco masons,20,Na,19,Na,1,0
CONSTRUCTION,Reinforcing iron and rebar workers,9,Na,9,Na,0,0
CONSTRUCTION,Roofers,171,584,170,580,2,0
CONSTRUCTION,Sheet metal workers,106,766,100,776,6,0
CONSTRUCTION,Structural iron and steel workers,54,869,52,864,2,0
CONSTRUCTION,Solar photovoltaic installers,8,Na,8,Na,0,0
CONSTRUCTION,"Helpers, construction trades",47,Na,47,Na,0,0
CONSTRUCTION,Construction and building inspectors,67,939,58,965,9,0
CONSTRUCTION,Elevator installers and repairers,23,Na,23,Na,0,0
CONSTRUCTION,Fence erectors,33,Na,33,Na,0,0
CONSTRUCTION,Hazardous materials removal workers,39,Na,35,Na,5,0
CONSTRUCTION,Highway maintenance workers,91,754,91,755,0,0
CONSTRUCTION,Rail-track laying and maintenance equipment operators,9,Na,9,Na,0,0
CONSTRUCTION,Septic tank servicers and sewer pipe cleaners,8,Na,8,Na,0,0
CONSTRUCTION,Miscellaneous construction and related workers,25,Na,23,Na,2,0
CONSTRUCTION,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",28,Na,27,Na,1,0
CONSTRUCTION,"Earth drillers, except oil and gas",30,Na,30,Na,0,0
CONSTRUCTION,"Explosives workers, ordnance handling experts, and blasters",5,Na,5,Na,0,0
CONSTRUCTION,Mining machine operators,68,1106,65,1098,2,0
CONSTRUCTION,"Roof bolters, mining",3,Na,3,Na,0,0
CONSTRUCTION,"Roustabouts, oil and gas",7,Na,7,Na,0,0
CONSTRUCTION,Helpers--extraction workers,6,Na,6,Na,0,0
CONSTRUCTION,Other extraction workers,61,900,58,918,3,0
MAINTENANCE,"First-line supervisors of mechanics, installers, and repairers",270,1032,252,1033,18,0
MAINTENANCE,"Computer, automated teller, and office machine repairers",194,856,166,865,28,0
MAINTENANCE,Radio and telecommunications equipment installers and repairers,139,862,126,879,13,0
MAINTENANCE,Avionics technicians,4,Na,4,Na,0,0
MAINTENANCE,"Electric motor, power tool, and related repairers",22,Na,20,Na,1,0
MAINTENANCE,"Electrical and electronics installers and repairers, transportation equipment",2,Na,2,Na,0,0
MAINTENANCE,"Electrical and electronics repairers, industrial and utility",18,Na,17,Na,0,0
MAINTENANCE,"Electronic equipment installers and repairers, motor vehicles",17,Na,17,Na,0,0
MAINTENANCE,Electronic home entertainment equipment installers and repairers,30,Na,28,Na,2,0
MAINTENANCE,Security and fire alarm systems installers,67,911,65,913,2,0
MAINTENANCE,Aircraft mechanics and service technicians,133,1025,125,1032,7,0
MAINTENANCE,Automotive body and related repairers,120,846,118,849,2,0
MAINTENANCE,Automotive glass installers and repairers,21,Na,20,Na,1,0
MAINTENANCE,Automotive service technicians and mechanics,710,722,694,724,16,0
MAINTENANCE,Bus and truck mechanics and diesel engine specialists,327,831,327,830,0,0
MAINTENANCE,Heavy vehicle and mobile equipment service technicians and mechanics,206,928,206,928,0,0
MAINTENANCE,Small engine mechanics,39,Na,39,Na,0,0
MAINTENANCE,Control and valve installers and repairers,23,Na,23,Na,0,0
MAINTENANCE,"Heating, air conditioning, and refrigeration mechanics and installers",341,806,337,810,4,0
MAINTENANCE,Home appliance repairers,36,Na,36,Na,0,0
MAINTENANCE,Industrial and refractory machinery mechanics,394,895,383,894,11,0
MAINTENANCE,"Maintenance and repair workers, general",469,773,459,771,10,0
MAINTENANCE,"Maintenance workers, machinery",31,Na,30,Na,1,0
MAINTENANCE,Millwrights,49,Na,48,Na,1,0
MAINTENANCE,Electrical power-line installers and repairers,113,1105,112,1105,0,0
MAINTENANCE,Telecommunications line installers and repairers,157,882,148,880,9,0
MAINTENANCE,Precision instrument and equipment repairers,64,996,60,1009,4,0
MAINTENANCE,Wind turbine service technicians,3,Na,3,Na,0,0
